timestamp,level,class,superclass,archetype,lfg_message
2025-02-17 14:57:06,51,dirge,bard,scout,51 dirge lfg
2025-02-17 14:57:27,57,unknown,unknown,unknown,57 Best healer you ever had LFG
2025-02-17 14:59:47,55,fury,shaman,priest,Fury 55 LFG
2025-02-17 14:59:53,47,wizard,sorcerer,mage,47 Wiz LFG or help with Dragon Runes in CT / OOLS / Everfrost
2025-02-17 14:59:56,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 15:00:02,43,conjuror,summoner,mage,43 Conj LFG CT / EXP
2025-02-17 15:01:47,51,templar,cleric,priest,51 templar lfg
2025-02-17 15:02:04,54,coercer,enchanter,mage,54coe lfg xp
2025-02-17 15:04:46,43,conjuror,summoner,mage,43 Conj LFG CT / EXP
2025-02-17 15:04:58,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 15:08:22,57,necromancer,summoner,mage,57 Necro LFG
2025-02-17 15:08:38,26,ranger,predator,scout,26 Ranger lfg
2025-02-17 15:08:52,54,coercer,enchanter,mage,54coe lfg xp
2025-02-17 15:09:26,37,illusionist,enchanter,mage,37 illu or 22 fury lfg
2025-02-17 15:09:36,54,brigand,rogue,scout,54 brig LFG Grind
2025-02-17 15:09:38,43,conjuror,summoner,mage,43 Conj LFG CT / EXP
2025-02-17 15:11:21,55,fury,shaman,priest,Fury 55 LFG
2025-02-17 15:11:25,15,shadowknight,crusader,fighter,15 sk & 14 fury lfg
2025-02-17 15:12:27,47,wizard,sorcerer,mage,47 Wiz LFG or help with Dragon Runes in CT / OOLS / Everfrost
2025-02-17 15:14:48,27,monk,brawler,fighter,27 Monk LFG
2025-02-17 15:17:41,52,wizard,sorcerer,mage,52 wiz lfg xp
2025-02-17 15:18:19,54,fury,shaman,priest,54 fury lfg xp
2025-02-17 15:18:31,18,unknown,unknown,unknown,18 healer lfg full vit to burn
2025-02-17 15:20:01,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 15:21:17,55,fury,shaman,priest,Fury 55 LFG
2025-02-17 15:21:28,52,wizard,sorcerer,mage,52 wiz lfg xp
2025-02-17 15:21:32,15,shadowknight,crusader,fighter,15 sk and 14 fury lfg wc or bb
2025-02-17 15:22:24,53,shadowknight,crusader,fighter,53 swash lfg xp / scouring the sands/ secrets of a used skull
2025-02-17 15:23:23,43,conjuror,summoner,mage,43 Conj LFG CT / EXP
2025-02-17 15:25:25,20,brigand,rogue,scout,20 Brigand LFG
2025-02-17 15:25:50,48,guardian,warrior,fighter,48 Warden or 30 Guardian LFG
2025-02-17 15:25:51,52,wizard,sorcerer,mage,52 wiz lfg xp
2025-02-17 15:26:10,26,ranger,predator,scout,26  Ranger lfg
2025-02-17 15:26:21,15,shadowknight,crusader,fighter,15 sk and 14 fury lfg wc or bb
2025-02-17 15:26:31,21,assassin,predator,scout,21 assasin LFG
2025-02-17 15:27:48,50,illusionist,enchanter,mage,50 illy lfg
2025-02-17 15:29:16,43,conjuror,summoner,mage,43 Conj LFG CT / EXP
2025-02-17 15:29:20,51,templar,cleric,priest,51 Templar LFG
2025-02-17 15:29:47,15,shadowknight,crusader,fighter,15 sk and 14 fury lfg wc or bb
2025-02-17 15:30:48,42,brigand,rogue,scout,42 Brig LFG! :D
2025-02-17 15:30:56,50,illusionist,enchanter,mage,50 illy lfg
2025-02-17 15:31:48,22,coercer,enchanter,mage,22 Coercer lfg
2025-02-17 15:32:27,17,necromancer,summoner,mage,17 necro lfg
2025-02-17 15:32:57,10,swashbuckler,rogue,fighter,10 swash lfg
2025-02-17 15:33:23,57,brigand,rogue,scout,57 brig lfg
2025-02-17 15:33:32,43,conjuror,summoner,mage,43 Conj LFG CT / EXP
2025-02-17 15:35:39,31,ranger,predator,scout,Lv 31 Ranger LFG
2025-02-17 15:35:55,15,shadowknight,crusader,fighter,15 sk and 14 fury lfg wc or bb
2025-02-17 15:36:34,42,brigand,rogue,scout,42 Brig LFG! :D
2025-02-17 15:37:26,10,swashbuckler,rogue,fighter,10 swash lfg bb or antonica mobs
2025-02-17 15:37:41,50,conjuror,summoner,mage,50 Conju LFG
2025-02-17 15:37:47,22,coercer,enchanter,mage,22 Coercer lfg
2025-02-17 15:38:01,43,conjuror,summoner,mage,43 Conj LFG CT / EXP
2025-02-17 15:38:06,48,guardian,warrior,fighter,48 Warden or 30 Guardian LFG
2025-02-17 15:39:40,52,berserker,warrior,fighter,52 zerk LFG
2025-02-17 15:39:56,50,necromancer,summoner,mage,50 necro lfg
2025-02-17 15:39:59,50,illusionist,enchanter,mage,50 Illy LFG
2025-02-17 15:40:08,27,coercer,enchanter,mage,27 coercer LFG
2025-02-17 15:41:39,54,dirge,bard,scout,54 Dirge Lfg
2025-02-17 15:41:40,42,brigand,rogue,scout,42 Brig LFG! :D
2025-02-17 15:41:46,10,swashbuckler,rogue,fighter,10 swash lfg bb or ant scarecrows
2025-02-17 15:41:58,45,dirge,bard,scout,45 Dirge LFG
2025-02-17 15:42:09,55,coercer,enchanter,mage,55 coercer LFG
2025-02-17 15:42:44,52,berserker,warrior,fighter,52 zerk LFG
2025-02-17 15:42:48,51,coercer,enchanter,mage,51 Coey LFG DoF
2025-02-17 15:42:59,50,illusionist,enchanter,mage,50 Illy LFG
2025-02-17 15:43:21,16,dirge,bard,scout,16 dirge lfg bb
2025-02-17 15:44:01,19,warden,druid,priest,19 Warden Lfg!
2025-02-17 15:44:25,51,coercer,enchanter,mage,51 Coey LFG DoF
2025-02-17 15:45:28,15,shadowknight,crusader,fighter,15 sk and 14 fury lfg wc or bb
2025-02-17 15:46:23,50,illusionist,enchanter,mage,50 Illy LFG 
2025-02-17 15:46:27,51,coercer,enchanter,mage,51 Coey LFG DoF
2025-02-17 15:46:53,10,swashbuckler,rogue,fighter,10 swash lfg bb or ant scarecrows
2025-02-17 15:48:23,27,coercer,enchanter,mage,27 coercer LFG
2025-02-17 17:45:52,52,illusionist,enchanter,mage,52 illy lfg
2025-02-17 17:46:38,49,necromancer,summoner,mage,49 Warlock and 49 Necro LFG
2025-02-17 17:47:24,53,conjuror,summoner,mage,53 conj lfg xp
2025-02-17 17:48:00,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 17:48:27,51,coercer,enchanter,mage,51 Coey LFG DoF
2025-02-17 17:48:28,27,fury,shaman,priest,Fury lvl 27 LFG Varsoon or exp grind
2025-02-17 17:51:44,51,coercer,enchanter,mage,51 Coey LFG DoF
2025-02-17 17:51:48,54,defiler,druid,priest,54 def lfg
2025-02-17 17:53:43,53,dirge,bard,scout,53 Dirge LFG
2025-02-17 17:53:53,51,coercer,enchanter,mage,51 Coey LFG DoF
2025-02-17 17:54:03,51,defiler,druid,priest,51 Defiler lfg
2025-02-17 17:54:43,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 17:55:21,51,coercer,enchanter,mage,51 Coey LFG DoF
2025-02-17 17:57:44,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 17:58:15,51,coercer,enchanter,mage,51 Coey LFG DoF
2025-02-17 18:01:33,27,dirge,bard,scout,27 Dirge LFG
2025-02-17 18:01:35,51,coercer,enchanter,mage,51 Coey LFG
2025-02-17 18:01:50,52,illusionist,enchanter,mage,52 illy lfg
2025-02-17 18:02:08,27,dirge,bard,scout,27 Dirge LFG
2025-02-17 18:02:10,51,defiler,druid,priest,51 Defiler lfg
2025-02-17 18:03:16,51,coercer,enchanter,mage,51 Coey LFG
2025-02-17 18:03:36,27,dirge,bard,scout,27 Dirge LFG
2025-02-17 18:03:51,54,fury,shaman,priest,54 Fury LFG
2025-02-17 18:03:56,53,conjuror,summoner,mage,53 conj lfg xp
2025-02-17 18:04:25,27,dirge,bard,scout,27 Dirge LFG
2025-02-17 18:04:33,54,wizard,sorcerer,mage,"54 Wiz LFG. Locked: Roost, Sanct, HC, Vaults. Xp grind, scouring the sands, instances."
2025-02-17 18:04:44,47,wizard,sorcerer,mage,47 Wiz LFG or help with Dragon Runes in CT / OOLS / Everfrost
2025-02-17 18:05:14,51,coercer,enchanter,mage,51 Coey LFG
2025-02-17 18:05:15,27,fury,shaman,priest,"Fury lvl 27 LFG Varsoon, CC  or exp grind"
2025-02-17 18:05:33,52,illusionist,enchanter,mage,52 illy lfg
2025-02-17 18:05:55,27,dirge,bard,scout,27 Dirge LFG
2025-02-17 18:06:33,46,inquisitor,cleric,priest,46 Inquisitor LFG
2025-02-17 18:06:52,53,dirge,bard,scout,53 Dirge LFG | Locked HC
2025-02-17 18:07:01,52,illusionist,enchanter,mage,52 illus lfg
2025-02-17 18:07:10,51,coercer,enchanter,mage,51 Coey LFG
2025-02-17 18:07:48,27,dirge,bard,scout,27 Dirge LFG
2025-02-17 18:08:01,52,illusionist,enchanter,mage,52 illy lfg anything
2025-02-17 18:08:09,30,fury,shaman,priest,30 Fury LFG can heal or DPS
2025-02-17 18:08:37,27,dirge,bard,scout,27 Dirge LFG
2025-02-17 18:08:46,52,illusionist,enchanter,mage,52 Illy LFG
2025-02-17 18:09:56,51,coercer,enchanter,mage,51 Coey LFG
2025-02-17 18:10:33,27,dirge,bard,scout,27 Dirge LFG
